,@spectator,@SpecCoffeeHouse,@Spectator_LIFE,@FraserNelson
2015-04-02,57279.0,28509.0,,
2015-04-09,57807.0,28720.0,,
2015-04-14,58050.0,28801.0,,
2015-04-20,58460.0,28950.0,,
2015-04-27,58871.0,29072.0,,
2015-05-11,60343.0,29647.0,,
2015-05-18,60923.0,29897.0,,
2015-05-25,61224.0,30037.0,,
2015-06-01,61595.0,30211.0,,
2015-06-08,61902.0,30361.0,,
2015-06-15,62216.0,30457.0,,
2015-06-22,62470.0,30568.0,,
2015-06-29,63040.0,30705.0,,
2015-07-06,63240.0,30650.0,,
2015-07-13,63637.0,31000.0,,
2015-07-20,63918.0,31251.0,,
2015-07-27,64277.0,31441.0,,
2015-08-03,64544.0,31558.0,,
2015-08-10,64898.0,31669.0,,
2015-08-17,65187.0,31785.0,,
2015-08-24,65603.0,31960.0,,
2015-08-31,65938.0,32076.0,,
2015-09-07,66393.0,32279.0,,
2015-09-14,66956.0,32605.0,,
2015-09-21,67596.0,32901.0,,
2015-09-28,68155.0,33103.0,1184.0,
2015-10-05,68641.0,33333.0,1231.0,
2015-10-12,68997.0,33535.0,1258.0,
2015-10-19,69356.0,33695.0,1260.0,
2015-10-26,69814.0,33831.0,1264.0,
2015-11-02,70183.0,34037.0,1270.0,
2015-11-09,70546.0,34162.0,1276.0,
2015-11-16,71104.0,34349.0,1281.0,
2015-11-23,71628.0,34514.0,1292.0,
2015-11-30,72162.0,34706.0,1297.0,
2015-12-07,72728.0,34923.0,1331.0,
2015-12-14,73150.0,35102.0,1338.0,
2015-12-21,73488.0,35215.0,1339.0,
2015-12-28,73770.0,35340.0,1342.0,
2016-01-04,74481.0,35541.0,1342.0,
2016-01-11,75132.0,35773.0,1355.0,
2016-01-18,75634.0,35941.0,1361.0,
2016-01-25,76075.0,36094.0,1366.0,
2016-02-01,76495.0,36285.0,1374.0,
2016-02-08,76963.0,36484.0,1372.0,
2016-02-15,77376.0,36677.0,1400.0,
2016-02-22,77933.0,36973.0,1406.0,
2016-02-29,78364.0,37103.0,1418.0,
2016-03-07,78749.0,37206.0,1429.0,
2016-03-14,79064.0,37295.0,1430.0,
2016-03-21,79382.0,37388.0,1442.0,
2016-03-28,79838.0,37487.0,1469.0,
2016-04-04,80171.0,37597.0,1484.0,
2016-04-11,80385.0,37698.0,1481.0,
2016-04-18,80670.0,37864.0,1487.0,
2016-04-25,81518.0,37978.0,1514.0,
2016-05-02,81868.0,38062.0,1529.0,
2016-05-09,82177.0,38134.0,1531.0,
2016-05-16,82454.0,38207.0,1533.0,
2016-05-23,82855.0,38279.0,1544.0,
2016-05-30,83071.0,38350.0,1541.0,
2016-06-06,83252.0,38435.0,1556.0,
2016-06-13,83476.0,38510.0,1592.0,
2016-06-20,84336.0,38713.0,1596.0,
2016-06-27,85337.0,39120.0,1609.0,
2016-07-04,86406.0,39690.0,1624.0,
2016-07-11,87114.0,40123.0,1640.0,
2016-07-18,88009.0,40563.0,1653.0,
2016-07-25,88527.0,40803.0,1670.0,
2016-08-01,88983.0,40995.0,1698.0,
2016-08-08,89242.0,41125.0,1717.0,
2016-08-15,89470.0,41265.0,1750.0,
2016-08-22,89740.0,41372.0,1765.0,
2016-08-29,90049.0,41446.0,1810.0,
2016-09-12,90550.0,41729.0,1841.0,
2016-09-19,90798.0,41818.0,1987.0,
2016-09-26,91040.0,41923.0,2099.0,
2016-10-03,91273.0,42068.0,2156.0,
2016-10-10,91540.0,42151.0,2197.0,
2016-10-17,91809.0,42310.0,2223.0,
2016-10-24,92165.0,42380.0,2266.0,
2016-10-31,92431.0,42468.0,2310.0,
2016-11-07,93001.0,42552.0,2374.0,
2016-11-14,93398.0,42693.0,2497.0,
2016-11-21,93807.0,42786.0,2687.0,
2016-11-28,94146.0,42860.0,2855.0,
2016-12-05,94530.0,42939.0,3050.0,
2016-12-12,94906.0,43027.0,3211.0,
2016-12-19,95189.0,43078.0,3325.0,
2016-12-26,95488.0,43162.0,3466.0,
2017-01-02,95852.0,43186.0,3612.0,
2017-01-09,96316.0,43240.0,3757.0,
2017-01-16,96733.0,43336.0,3927.0,
2017-01-23,97203.0,43479.0,4219.0,
2017-01-30,97767.0,43690.0,4364.0,
2017-02-06,98595.0,43935.0,4543.0,
2017-02-13,99218.0,44179.0,4685.0,
2017-02-20,99859.0,44332.0,4745.0,
2017-02-27,100484.0,44519.0,4825.0,
2017-03-06,100922.0,44652.0,4871.0,
2017-03-13,101228.0,44808.0,4905.0,
2017-03-20,101615.0,45025.0,4942.0,
2017-03-27,102048.0,45177.0,4955.0,
2017-04-03,102400.0,45324.0,4992.0,
2017-04-10,102810.0,45445.0,5031.0,
2017-04-17,103050.0,45545.0,5045.0,
2017-04-24,103594.0,45955.0,5053.0,
2017-05-01,104082.0,46165.0,5085.0,
2017-05-08,104555.0,46413.0,5104.0,
2017-05-15,104959.0,46575.0,5123.0,
2017-05-22,105333.0,46769.0,5148.0,
2017-05-29,105884.0,46993.0,5173.0,
2017-06-05,106737.0,47345.0,5194.0,
2017-06-12,107894.0,48007.0,5218.0,
2017-06-19,108556.0,,,
2017-06-26,109239.0,48561.0,5266.0,
2017-07-03,109729.0,48787.0,5301.0,
2017-07-10,110147.0,48949.0,5337.0,
2017-07-17,110747.0,49086.0,5374.0,
2017-07-24,111177.0,49279.0,5389.0,
2017-07-31,111695.0,49428.0,5418.0,
2017-08-07,112014.0,49595.0,5461.0,
2017-08-14,112348.0,49755.0,5490.0,
2017-08-21,112768.0,49945.0,5518.0,
2017-08-28,113225.0,50091.0,5534.0,
2017-09-04,113601.0,50231.0,5544.0,
2017-09-11,113993.0,50384.0,5593.0,
2017-09-18,114374.0,50476.0,5636.0,
2017-09-25,114829.0,50635.0,5672.0,
2017-10-02,115209.0,50788.0,5724.0,
2017-10-09,115539.0,50953.0,5732.0,
2017-10-16,115831.0,51073.0,5759.0,
2017-10-23,116140.0,51204.0,5773.0,
2017-10-30,116451.0,51297.0,5791.0,
2017-11-06,116909.0,51471.0,5810.0,
2017-11-13,117278.0,51653.0,5842.0,
2017-11-20,117624.0,51816.0,5875.0,
2017-11-27,117951.0,51906.0,5887.0,
2017-12-04,118426.0,52022.0,5909.0,
2017-12-11,118665.0,52170.0,5918.0,
2017-12-18,118841.0,52300.0,5938.0,
2017-12-25,119100.0,52398.0,5953.0,
2018-01-01,119331.0,52467.0,6000.0,
2018-01-08,119735.0,52578.0,6004.0,
2018-01-15,120175.0,52705.0,6016.0,
2018-01-22,120782.0,52797.0,6053.0,
2018-01-29,121184.0,52886.0,6073.0,
2018-02-05,121609.0,52979.0,6100.0,
2018-02-12,121917.0,53070.0,6106.0,
2018-02-19,122253.0,53158.0,6098.0,
2018-02-26,122727.0,53313.0,6130.0,
2018-03-05,123152.0,53472.0,6136.0,
2018-03-12,123534.0,53581.0,6147.0,
2018-03-19,123942.0,53791.0,6162.0,
2018-03-26,124251.0,53903.0,6177.0,
2018-04-02,124615.0,54052.0,6198.0,
2018-04-09,124962.0,54140.0,6205.0,
2018-04-16,125392.0,54262.0,6221.0,
2018-04-23,125690.0,54382.0,6222.0,
2018-04-30,125965.0,54511.0,6245.0,
2018-05-07,126265.0,54618.0,6263.0,
2018-05-14,126533.0,54705.0,6279.0,
2018-05-21,126695.0,54690.0,6287.0,
2018-05-28,126888.0,54736.0,6299.0,
2018-06-04,127198.0,54794.0,6308.0,
2018-06-11,127409.0,54900.0,6331.0,
2018-06-18,127628.0,54930.0,6336.0,
2018-06-25,127878.0,54974.0,6338.0,
2018-07-02,128033.0,55024.0,6355.0,
2018-07-09,128368.0,55140.0,6353.0,
2018-07-16,128078.0,54891.0,6352.0,
2018-07-23,128383.0,54950.0,6356.0,
2018-07-30,128717.0,55100.0,6362.0,
2018-08-06,128979.0,55212.0,6381.0,
2018-08-13,129376.0,55296.0,6385.0,
2018-08-20,129647.0,55363.0,6379.0,
2018-08-27,129927.0,55438.0,6390.0,
2018-09-03,130191.0,55501.0,6403.0,
2018-09-10,130457.0,55574.0,6399.0,
2018-09-17,130715.0,55619.0,6401.0,
2018-09-24,130926.0,55719.0,6413.0,
2018-10-01,131191.0,55786.0,6430.0,
2018-10-08,131546.0,55881.0,6441.0,
2018-10-15,131970.0,55980.0,6449.0,
2018-10-22,132496.0,56003.0,6450.0,
2018-10-29,132755.0,56104.0,6452.0,
2018-11-05,132954.0,56132.0,6456.0,
2018-11-12,133084.0,56041.0,6455.0,
2018-11-19,133736.0,56398.0,6456.0,
2018-11-26,134140.0,56502.0,6469.0,
2018-12-03,134583.0,56577.0,6478.0,
2018-12-10,134983.0,56722.0,6488.0,
2018-12-17,135532.0,56932.0,6486.0,
2018-12-24,135766.0,57009.0,6482.0,
2018-12-31,135999.0,57074.0,6485.0,
2019-01-07,136399.0,57180.0,6504.0,
2019-01-14,137009.0,57327.0,6519.0,
2019-01-21,137495.0,57411.0,6529.0,
2019-01-28,137808.0,57457.0,6546.0,
2019-02-04,137966.0,57543.0,6548.0,
2019-02-11,138205.0,57608.0,6553.0,
2019-02-18,138554.0,57687.0,6559.0,
2019-02-25,138935.0,57860.0,6580.0,
2019-03-04,139343.0,57942.0,6597.0,
2019-03-11,139735.0,58036.0,6598.0,
2019-03-18,140249.0,58262.0,6609.0,
2019-03-25,140662.0,58473.0,6623.0,
2019-04-01,140890.0,58705.0,6634.0,
2019-04-08,141352.0,58871.0,6646.0,
2019-04-15,141765.0,58975.0,6663.0,
2019-04-22,142170.0,59080.0,6678.0,
2019-04-29,142685.0,59165.0,6689.0,
2019-05-06,142911.0,59270.0,6702.0,
2019-05-13,143351.0,59362.0,6706.0,
2019-05-20,143576.0,59443.0,6717.0,
2019-05-27,143993.0,59576.0,6729.0,
2019-06-03,144347.0,59705.0,6745.0,
2019-06-10,144677.0,59826.0,6760.0,
2019-06-17,145034.0,59931.0,6774.0,
2019-06-24,145358.0,60106.0,6804.0,
2019-07-01,145563.0,60196.0,6836.0,
2019-07-08,146217.0,60263.0,6838.0,
2019-07-15,146704.0,60354.0,6871.0,
2019-07-22,147003.0,60409.0,6880.0,
2019-07-29,147663.0,60700.0,6910.0,
2019-08-05,147979.0,60793.0,6940.0,
2019-08-12,148373.0,60923.0,6974.0,
2019-08-19,148723.0,61022.0,7017.0,
2019-08-26,149012.0,61074.0,7039.0,
2019-09-02,149430.0,61185.0,7066.0,
2019-09-09,150084.0,61472.0,7106.0,
2019-09-16,150468.0,61657.0,7141.0,
2019-09-23,151042.0,61790.0,7173.0,
2019-09-30,151615.0,61917.0,7209.0,
2019-10-07,152106.0,62031.0,7241.0,
2019-10-14,152694.0,62176.0,7287.0,
2019-10-21,153143.0,62365.0,7325.0,
2019-10-28,153555.0,62542.0,7350.0,
2019-11-04,154403.0,62756.0,7384.0,
2019-11-11,154893.0,62838.0,7408.0,
2019-11-18,155122.0,62870.0,7419.0,
2019-11-25,155573.0,63006.0,7428.0,
2019-12-02,156175.0,63071.0,7480.0,
2019-12-09,156485.0,63108.0,7501.0,
2019-12-16,156964.0,63312.0,7507.0,
2019-12-23,157535.0,63455.0,7583.0,
2019-12-30,157864.0,63547.0,7634.0,
2020-01-06,158158.0,63690.0,7676.0,
2020-01-13,158805.0,63782.0,7731.0,
2020-01-20,159133.0,63857.0,7773.0,
2020-01-27,159701.0,63947.0,7822.0,
2020-02-03,160143.0,64037.0,7882.0,
2020-02-17,161054.0,64235.0,8010.0,
2020-02-24,161496.0,64333.0,8077.0,
2020-03-02,161879.0,64437.0,8124.0,
2020-03-09,162085.0,64454.0,8195.0,
2020-03-16,162424.0,64625.0,8258.0,
2020-03-23,162836.0,64787.0,8339.0,
2020-03-30,163449.0,64933.0,8529.0,
2020-04-06,164404.0,65207.0,8648.0,
2020-04-13,165034.0,65428.0,8771.0,
2020-04-20,165728.0,65647.0,8909.0,
2020-04-27,166603.0,65899.0,9001.0,
2020-05-04,167335.0,66085.0,9108.0,
2020-05-11,168102.0,66170.0,9216.0,
2020-05-18,168674.0,66269.0,9286.0,
2020-05-25,169904.0,66765.0,9340.0,
2020-06-01,171334.0,66967.0,9435.0,
2020-06-08,172542.0,67019.0,9467.0,
2020-06-15,173649.0,67148.0,9536.0,
2020-06-22,174755.0,67299.0,9593.0,
2020-06-29,175237.0,67384.0,9663.0,
2020-07-06,175891.0,67597.0,9723.0,
2020-07-13,176967.0,67707.0,9801.0,
2020-07-20,178019.0,67921.0,9886.0,
2020-07-27,178596.0,68023.0,9920.0,
2020-08-03,179134.0,68086.0,9976.0,
2020-08-10,179514.0,68112.0,10053.0,
2020-08-17,179974.0,68113.0,10103.0,
2020-08-24,180394.0,68156.0,10152.0,
2020-08-31,180848.0,68201.0,10184.0,
2020-09-07,183844.0,68340.0,10240.0,
2020-09-14,184981.0,68579.0,10353.0,
2020-09-21,185681.0,68678.0,10377.0,
2020-09-28,186617.0,68840.0,10452.0,
2020-10-05,187229.0,68953.0,10469.0,
2020-10-12,188998.0,69051.0,10497.0,
2020-10-19,190101.0,69111.0,10531.0,
2020-10-26,190739.0,69185.0,10574.0,
2020-11-02,191663.0,69304.0,10591.0,
2020-11-09,192190.0,69351.0,10627.0,
2020-11-16,193035.0,69464.0,10642.0,
2020-11-23,194104.0,69558.0,10674.0,
2020-11-30,194777.0,69679.0,10702.0,
2020-12-07,195188.0,69761.0,10735.0,
2020-12-14,195453.0,69773.0,10756.0,
2021-05-20,209270.0,,,
2021-05-21,209274.0,,,
2021-05-24,209631.0,,,
2021-05-25,209746.0,,,
2021-05-26,209798.0,,,
2021-05-27,209821.0,,,
2021-05-28,209834.0,,,
2021-05-29,209887.0,,,
2021-05-30,209919.0,,,
2021-05-31,209982.0,,,
2021-06-01,210069.0,,,
2021-06-02,210088.0,,,
2021-06-03,210169.0,,,
2021-06-04,210230.0,,,
2021-06-05,210305.0,,,
2021-06-06,210392.0,,,
2021-06-07,210422.0,,,
2021-06-10,210931.0,,,
2021-06-11,210981.0,,,
2021-06-12,211063.0,,,
2021-06-13,211148.0,,,
2021-06-14,211258.0,,,
2021-06-15,211400.0,,,
2021-06-16,211511.0,,,
2021-06-17,211585.0,,,
2021-06-18,211696.0,,,
2021-06-19,211772.0,,,
2021-06-20,211823.0,,,
2021-06-21,211851.0,,,
2021-06-22,211874.0,72404.0,11133.0,268086.0
2021-06-23,211867.0,72404.0,11133.0,268089.0
2021-06-24,211902.0,72407.0,11138.0,268145.0
2021-06-25,212002.0,72408.0,11136.0,268204.0
2021-06-26,212089.0,72412.0,11142.0,268267.0
2021-06-27,212195.0,72415.0,11136.0,268402.0
2021-06-28,212260.0,72419.0,11135.0,268455.0
2021-06-29,212301.0,72426.0,11135.0,268501.0
2021-06-30,212377.0,72436.0,11134.0,268603.0
2021-07-01,212488.0,72440.0,11136.0,268616.0
2021-07-02,212619.0,72439.0,11137.0,268633.0
2021-07-03,212682.0,72434.0,11135.0,268649.0
2021-07-04,212764.0,72440.0,11131.0,268667.0
2021-07-05,212802.0,72431.0,11131.0,268660.0
2021-07-06,212837.0,72421.0,11136.0,268671.0
2021-07-07,212854.0,72431.0,11139.0,268696.0
2021-07-08,212908.0,72435.0,11135.0,268694.0
2021-07-09,212983.0,72433.0,11137.0,268732.0
2021-07-10,213017.0,72447.0,11136.0,268766.0
2021-07-11,213036.0,72443.0,11138.0,268769.0
2021-07-12,212972.0,72415.0,11134.0,268736.0
2021-07-13,212977.0,72380.0,11131.0,268659.0
2021-07-14,212990.0,72363.0,11129.0,268631.0
2021-07-15,213010.0,72355.0,11126.0,268641.0
2021-07-16,213103.0,72357.0,11124.0,268657.0
2021-07-17,213159.0,72365.0,11126.0,268674.0
2021-07-18,213230.0,72368.0,11123.0,268710.0
2021-07-19,213251.0,72370.0,11119.0,268711.0
2021-07-20,213294.0,72367.0,11119.0,268703.0
2021-07-21,215587.0,72384.0,11119.0,268844.0
2021-07-22,215774.0,72381.0,11117.0,268855.0
2021-07-23,215829.0,72376.0,11120.0,268848.0
2021-07-24,215856.0,72369.0,11116.0,268853.0
2021-07-25,215936.0,72366.0,11116.0,268869.0
2021-07-26,215990.0,72366.0,11117.0,268864.0
2021-07-27,216033.0,72351.0,11115.0,268872.0
2021-07-28,216078.0,72354.0,11111.0,268865.0
2021-07-29,216136.0,72357.0,11110.0,268861.0
2021-07-30,216170.0,72349.0,11110.0,268859.0
2021-07-31,216223.0,72345.0,11111.0,268904.0
2021-08-01,216275.0,72342.0,11116.0,268952.0
2021-08-02,216336.0,72350.0,11118.0,268948.0
2021-08-03,216395.0,72353.0,11119.0,268957.0
2021-08-04,216484.0,72357.0,11115.0,268993.0
2021-08-05,216557.0,72362.0,11116.0,269012.0
2021-08-06,216619.0,72357.0,11107.0,269105.0
2021-08-07,216663.0,72363.0,11110.0,269148.0
2021-08-08,216682.0,72356.0,11107.0,269166.0
