time,url clicks,average clicks
2020-05-01,2981.0,
2020-05-02,18321.0,
2020-05-03,1934.0,
2020-05-04,4165.0,
2020-05-05,1559.0,
2020-05-06,3680.0,
2020-05-07,3228.0,5124.0
2020-05-08,2550.0,5062.428571428572
2020-05-09,8416.0,3647.4285714285716
2020-05-10,2728.0,3760.8571428571427
2020-05-11,2877.0,3576.8571428571427
2020-05-12,916.0,3485.0
2020-05-13,2717.0,3347.4285714285716
2020-05-14,1871.0,3153.5714285714284
2020-05-15,904.0,2918.4285714285716
2020-05-16,5034.0,2435.285714285714
2020-05-17,2112.0,2347.285714285714
2020-05-18,5526.0,2725.714285714286
2020-05-19,2274.0,2919.714285714286
2020-05-20,1217.0,2705.4285714285716
2020-05-21,4276.0,3049.0
2020-05-22,2967.0,3343.714285714286
2020-05-23,7595.0,3709.5714285714284
2020-05-24,3815.0,3952.8571428571427
2020-05-25,8288.0,4347.428571428572
2020-05-26,3597.0,4536.428571428572
2020-05-27,1936.0,4639.142857142857
2020-05-28,2136.0,4333.428571428572
2020-05-29,5483.0,4692.857142857143
2020-05-30,7318.0,4653.285714285715
2020-05-31,3297.0,4579.285714285715
2020-06-01,3717.0,3926.285714285714
2020-06-02,3629.0,3930.8571428571427
2020-06-03,4888.0,4352.571428571428
2020-06-04,4229.0,4651.571428571428
2020-06-05,3902.0,4425.714285714285
2020-06-06,2282.0,3706.285714285714
2020-06-07,2611.0,3608.285714285714
2020-06-08,14500.0,5148.714285714285
2020-06-09,3676.0,5155.428571428572
2020-06-10,6430.0,5375.714285714285
2020-06-11,6194.0,5656.428571428572
2020-06-12,4615.0,5758.285714285715
2020-06-13,5124.0,6164.285714285715
2020-06-14,1327.0,5980.857142857143
2020-06-15,5321.0,4669.571428571428
2020-06-16,3357.0,4624.0
2020-06-17,3579.0,4216.714285714285
2020-06-18,45362.0,9812.142857142857
2020-06-19,19550.0,11945.714285714286
2020-06-20,2378.0,11553.42857142857
2020-06-21,2175.0,11674.57142857143
2020-06-22,3697.0,11442.57142857143
2020-06-23,4950.0,11670.142857142857
2020-06-24,5406.0,11931.142857142857
2020-06-25,5018.0,6167.714285714285
2020-06-26,8602.0,4603.714285714285
2020-06-27,6903.0,5250.142857142857
2020-06-28,6198.0,5824.857142857143
2020-06-29,6258.0,6190.714285714285
2020-06-30,3555.0,5991.428571428572
2020-07-01,4029.0,5794.714285714285
2020-07-02,2910.0,5493.571428571428
2020-07-03,6315.0,5166.857142857143
2020-07-04,11844.0,5872.714285714285
2020-07-05,1838.0,5249.857142857143
2020-07-06,9463.0,5707.714285714285
2020-07-07,2479.0,5554.0
2020-07-08,2709.0,5365.428571428572
2020-07-09,6415.0,5866.142857142857
2020-07-10,6076.0,5832.0
2020-07-11,3857.0,4691.0
2020-07-12,9720.0,5817.0
2020-07-13,1343.0,4657.0
2020-07-14,905.0,4432.142857142857
2020-07-15,5536.0,4836.0
2020-07-16,9209.0,5235.142857142857
2020-07-17,3165.0,4819.285714285715
2020-07-18,5359.0,5033.857142857143
2020-07-19,8528.0,4863.571428571428
2020-07-20,5025.0,5389.571428571428
2020-07-21,4142.0,5852.0
2020-07-22,2546.0,5424.857142857143
2020-07-23,5866.0,4947.285714285715
2020-07-24,7539.0,5572.142857142857
2020-07-25,3272.0,5274.0
2020-07-26,4736.0,4732.285714285715
2020-07-27,6110.0,4887.285714285715
2020-07-28,4217.0,4898.0
2020-07-29,3694.0,5062.0
2020-07-30,10629.0,5742.428571428572
2020-07-31,3977.0,5233.571428571428
2020-08-01,569.0,4847.428571428572
2020-08-02,1553.0,4392.714285714285
2020-08-03,1113.0,3678.8571428571427
2020-08-04,3913.0,3635.4285714285716
2020-08-05,1072.0,3260.8571428571427
2020-08-06,8966.0,3023.285714285714
2020-08-07,3114.0,2900.0
2020-08-08,1963.0,3099.1428571428573
2020-08-09,4127.0,3466.8571428571427
2020-08-10,1760.0,3559.285714285714
2020-08-11,1804.0,3258.0
2020-08-12,2446.0,3454.285714285714
2020-08-13,2192.0,2486.5714285714284
2020-08-14,683.0,2139.285714285714
2020-08-15,5845.0,2693.8571428571427
2020-08-16,658.0,2198.285714285714
2020-08-17,3329.0,2422.4285714285716
2020-08-18,1719.0,2410.285714285714
2020-08-19,3046.0,2496.0
2020-08-20,3961.0,2748.714285714286
2020-08-21,3750.0,3186.8571428571427
2020-08-22,5976.0,3205.5714285714284
2020-08-23,2915.0,3528.0
2020-08-24,2525.0,3413.1428571428573
2020-08-25,3770.0,3706.1428571428573
2020-08-26,6196.0,4156.142857142857
2020-08-27,7002.0,4590.571428571428
2020-08-28,2544.0,4418.285714285715
2020-08-29,3027.0,3997.0
2020-08-30,3111.0,4025.0
2020-08-31,5564.0,4459.142857142857
2020-09-01,1455.0,4128.428571428572
2020-09-02,1426.0,3447.0
2020-09-03,3403.0,2932.8571428571427
2020-09-04,32253.0,7177.0
2020-09-05,6903.0,7730.714285714285
2020-09-06,6252.0,8179.428571428572
2020-09-07,2696.0,7769.714285714285
2020-09-08,4114.0,8149.571428571428
2020-09-09,1631.0,8178.857142857143
2020-09-10,5478.0,8475.285714285714
2020-09-11,1289.0,4051.8571428571427
2020-09-12,3113.0,3510.4285714285716
2020-09-13,7578.0,3699.8571428571427
2020-09-14,1614.0,3545.285714285714
2020-09-15,5492.0,3742.1428571428573
2020-09-16,2199.0,3823.285714285714
2020-09-17,8760.0,4292.142857142857
2020-09-18,3426.0,4597.428571428572
2020-09-19,7130.0,5171.285714285715
2020-09-20,4667.0,4755.428571428572
2020-09-21,2128.0,4828.857142857143
2020-09-22,3258.0,4509.714285714285
2020-09-23,4135.0,4786.285714285715
2020-09-24,3236.0,3997.1428571428573
2020-09-25,3508.0,4008.8571428571427
2020-09-26,5330.0,3751.714285714286
2020-09-27,3947.0,3648.8571428571427
2020-09-28,2129.0,3649.0
2020-09-29,1476.0,3394.4285714285716
2020-09-30,1287.0,2987.5714285714284
2020-10-01,4825.0,3214.5714285714284
2020-10-02,3058.0,3150.285714285714
2020-10-03,4686.0,3058.285714285714
2020-10-04,660.0,2588.714285714286
2020-10-05,1837.0,2547.0
2020-10-06,1458.0,2544.4285714285716
2020-10-07,3631.0,2879.285714285714
2020-10-08,3523.0,2693.285714285714
2020-10-09,14659.0,4350.571428571428
2020-10-10,3406.0,4167.714285714285
2020-10-11,2812.0,4475.142857142857
2020-10-12,2343.0,4547.428571428572
2020-10-13,2134.0,4644.0
2020-10-14,1136.0,4287.571428571428
2020-10-15,7468.0,4851.142857142857
2020-10-16,2108.0,3058.1428571428573
2020-10-17,1625.0,2803.714285714286
2020-10-18,2100.0,2702.0
2020-10-19,1034.0,2515.0
2020-10-20,1891.0,2480.285714285714
2020-10-21,2322.0,2649.714285714286
2020-10-22,4089.0,2167.0
2020-10-23,5999.0,2722.8571428571427
2020-10-24,3880.0,3045.0
2020-10-26,1798.0,3001.8571428571427
2020-10-27,2111.0,3155.714285714286
2020-10-28,2009.0,3172.5714285714284
2020-10-29,8699.0,4083.5714285714284
2020-10-30,4889.0,4197.857142857143
2020-10-31,2529.0,3702.1428571428573
2020-11-01,6714.0,4107.0
2020-11-02,2900.0,4264.428571428572
2020-11-03,2987.0,4389.571428571428
2020-11-04,1739.0,4351.0
2020-11-05,2229.0,3426.714285714286
2020-11-06,2506.0,3086.285714285714
2020-11-07,2315.0,3055.714285714286
2020-11-08,5147.0,2831.8571428571427
2020-11-09,7679.0,3514.5714285714284
2020-11-10,2768.0,3483.285714285714
2020-11-11,1834.0,3496.8571428571427
2020-11-12,4613.0,3837.4285714285716
2020-11-13,4552.0,4129.714285714285
2020-11-14,2679.0,4181.714285714285
2020-11-15,4963.0,4155.428571428572
2020-11-16,4123.0,3647.4285714285716
2020-11-17,3404.0,3738.285714285714
2020-11-18,1433.0,3681.0
2020-11-19,9719.0,4410.428571428572
2020-11-20,8025.0,4906.571428571428
2020-11-21,2808.0,4925.0
2020-11-22,5085.0,4942.428571428572
2020-11-23,2319.0,4684.714285714285
2020-11-24,2525.0,4559.142857142857
2020-11-25,857.0,4476.857142857143
2020-11-26,4129.0,3678.285714285714
2020-11-27,7094.0,3545.285714285714
2020-11-28,3419.0,3632.5714285714284
2020-11-29,4759.0,3586.0
2020-11-30,4058.0,3834.4285714285716
2020-12-01,1857.0,3739.0
2020-12-02,4198.0,4216.285714285715
2020-12-03,7893.0,4754.0
2020-12-04,3414.0,4228.285714285715
2020-12-05,8122.0,4900.142857142857
2020-12-06,2963.0,4643.571428571428
2020-12-07,1367.0,4259.142857142857
2020-12-08,841.0,4114.0
2020-12-09,1520.0,3731.4285714285716
2020-12-10,3513.0,3105.714285714286
2020-12-11,1364.0,2812.8571428571427
2020-12-12,2612.0,2025.7142857142858
2020-12-13,2446.0,1951.857142857143
2020-12-14,1491.0,1969.5714285714287
2020-12-15,1386.0,2047.4285714285713
2020-12-16,904.0,1959.4285714285713
2020-12-17,5138.0,2191.5714285714284
2020-12-18,3832.0,2544.1428571428573
2020-12-19,4193.0,2770.0
2020-12-20,1851.0,2685.0
2020-12-21,4688.0,3141.714285714286
2020-12-22,5423.0,3718.4285714285716
2020-12-23,4348.0,4210.428571428572
2020-12-24,5998.0,4333.285714285715
2020-12-25,2509.0,4144.285714285715
2020-12-26,6004.0,4403.0
2020-12-27,4006.0,4710.857142857143
2020-12-28,9866.0,5450.571428571428
2020-12-29,6331.0,5580.285714285715
2020-12-30,4141.0,5550.714285714285
2020-12-31,28168.0,8717.857142857143
2021-01-01,5322.0,9119.714285714286
2021-01-02,19122.0,10993.714285714286
2021-01-03,16089.0,12719.857142857143
2021-01-04,2078.0,11607.285714285714
2021-01-05,1300.0,10888.57142857143
2021-01-06,1198.0,10468.142857142857
2021-01-07,5539.0,7235.428571428572
2021-01-08,3021.0,6906.714285714285
2021-01-09,5418.0,4949.0
2021-01-10,2365.0,2988.4285714285716
2021-01-11,1233.0,2867.714285714286
2021-01-12,973.0,2821.0
2021-01-13,2073.0,2946.0
2021-01-14,3229.0,2616.0
2021-01-15,3125.0,2630.8571428571427
2021-01-16,5660.0,2665.4285714285716
2021-01-17,137.0,2347.1428571428573
2021-01-18,1656.0,2407.5714285714284
2021-01-19,1233.0,2444.714285714286
2021-01-20,2304.0,2477.714285714286
2021-01-21,2680.0,2399.285714285714
2021-01-22,4200.0,2552.8571428571427
2021-01-23,2713.0,2131.8571428571427
2021-01-24,4192.0,2711.1428571428573
2021-01-25,3853.0,3025.0
2021-01-26,1071.0,3001.8571428571427
2021-01-27,1247.0,2850.8571428571427
2021-01-28,2915.0,2884.4285714285716
2021-01-29,6627.0,3231.1428571428573
2021-01-30,5854.0,3679.8571428571427
2021-01-31,4818.0,3769.285714285714
2021-02-01,2152.0,3526.285714285714
2021-02-02,1766.0,3625.5714285714284
2021-02-03,3156.0,3898.285714285714
2021-02-04,11567.0,5134.285714285715
2021-02-05,3263.0,4653.714285714285
2021-02-06,1217.0,3991.285714285714
2021-02-07,3930.0,3864.4285714285716
2021-02-08,2251.0,3878.5714285714284
2021-02-09,1906.0,3898.5714285714284
2021-02-10,1861.0,3713.5714285714284
2021-02-11,6002.0,2918.5714285714284
2021-02-12,5088.0,3179.285714285714
2021-02-13,13259.0,4899.571428571428
2021-02-14,2789.0,4736.571428571428
2021-02-15,10198.0,5871.857142857143
2021-02-16,4042.0,6177.0
2021-02-17,3954.0,6476.0
2021-02-18,4971.0,6328.714285714285
2021-02-19,3821.0,6147.714285714285
2021-02-20,14721.0,6356.571428571428
2021-02-21,4159.0,6552.285714285715
2021-02-22,2389.0,5436.714285714285
2021-02-23,2821.0,5262.285714285715
2021-02-24,9302.0,6026.285714285715
2021-02-25,5298.0,6073.0
2021-02-26,3747.0,6062.428571428572
2021-02-27,4776.0,4641.714285714285
2021-02-28,6824.0,5022.428571428572
2021-03-01,4244.0,5287.428571428572
2021-03-02,7831.0,6003.142857142857
2021-03-03,1346.0,4866.571428571428
2021-03-04,12296.0,5866.285714285715
2021-03-05,13910.0,7318.142857142857
2021-03-06,11507.0,8279.714285714286
2021-03-07,4698.0,7976.0
2021-03-08,19769.0,10193.857142857143
2021-03-09,10445.0,10567.285714285714
2021-03-10,14091.0,12388.0
2021-03-11,22076.0,13785.142857142857
2021-03-12,10310.0,13270.857142857143
2021-03-13,10830.0,13174.142857142857
2021-03-14,8205.0,13675.142857142857
2021-03-15,13671.0,12804.0
2021-03-16,19266.0,14064.142857142857
2021-03-17,18012.0,14624.285714285714
2021-03-18,1.0,11470.714285714286
2021-03-19,14072.0,12008.142857142857
2021-03-20,15760.0,12712.42857142857
2021-03-21,12505.0,13326.714285714286
2021-03-22,33339.0,16136.42857142857
2021-03-23,14918.0,15515.285714285714
2021-03-24,11556.0,14593.0
2021-03-25,21630.0,17682.85714285714
2021-03-26,27635.0,19620.428571428572
2021-03-27,18344.0,19989.571428571428
2021-03-28,20519.0,21134.428571428572
2021-03-29,9851.0,17779.0
2021-03-30,14789.0,17760.571428571428
2021-03-31,13746.0,18073.428571428572
2021-04-01,10752.0,16519.428571428572
2021-04-02,9325.0,13903.714285714286
2021-04-03,10022.0,12714.857142857143
2021-04-04,22383.0,12981.142857142857
2021-04-05,5998.0,12430.714285714286
2021-04-06,11441.0,11952.42857142857
2021-04-07,13537.0,11922.57142857143
2021-04-08,22177.0,13554.714285714286
2021-04-09,27158.0,16102.285714285714
2021-04-10,15029.0,16817.571428571428
2021-04-11,16888.0,16032.57142857143
2021-04-12,15423.0,17379.0
2021-04-13,23639.0,19121.571428571428
2021-04-14,19154.0,19924.0
2021-04-15,23942.0,20176.14285714286
2021-04-16,17534.0,18801.285714285714
2021-04-17,13061.0,18520.14285714286
2021-04-18,13302.0,18007.85714285714
2021-04-19,11230.0,17408.85714285714
2021-04-20,15109.0,16190.285714285714
2021-04-21,11103.0,15040.142857142857
2021-04-22,8162.0,12785.857142857143
2021-04-23,9621.0,11655.42857142857
2021-04-24,14193.0,11817.142857142857
2021-04-25,10682.0,11442.857142857143
2021-04-26,10230.0,11300.0
2021-04-27,18557.0,11792.57142857143
2021-04-28,8787.0,11461.714285714286
2021-04-29,15070.0,12448.57142857143
2021-04-30,8967.0,12355.142857142857
